"market_id","discounts","weekend","Location","p","q"
1,-2,1,"Orchard",15.7327751352607,14.5731367858174
2,-3,1,"Orchard",11.7537901536415,16.892927433696
3,-3,0,"MBS",8.42409533724828,22.346660645525
4,-1,0,"Orchard",8.33231958098377,17.9043486009327
5,-3,0,"Clarke Quay",7.29596564374223,18.4813049132898
6,-1,0,"MBS",10.7013960839874,21.3643669448896
7,-3,0,"MBS",8.74876108364548,21.0865356641665
8,-1,0,"Orchard",8.4676236560081,16.5011269373894
9,-3,0,"Orchard",4.94185743691514,18.8422184296489
10,-3,0,"Clarke Quay",6.55282459350088,18.2779257331496
11,-2,1,"Orchard",12.9140674594171,17.7670480677309
12,-3,0,"Orchard",7.03557207760594,18.8420277882544
13,-2,1,"Orchard",14.3873695149437,16.2070866931222
14,-3,0,"MBS",5.81563043089173,22.2028675004993
15,-3,1,"Orchard",9.92978826695484,17.4792647317685
16,-2,1,"MBS",14.2856335615939,20.6440963560061
17,-1,1,"Clarke Quay",14.0657201083585,16.46499042405
18,-1,0,"Orchard",9.03418987642482,15.516287905158
19,-1,1,"Clarke Quay",12.5478794402391,17.4274161814441
20,-1,0,"Orchard",8.05999672347761,17.4972102305333
21,-3,1,"Orchard",11.5221730272636,16.1710897803814
22,-3,1,"MBS",14.4683502081147,18.5478499812844
23,-2,1,"Orchard",14.8713690497946,14.5383110267955
24,-3,1,"Orchard",11.8971980130129,16.3225097642024
25,-2,1,"MBS",14.1529080527312,18.2985067057851
26,-3,0,"Clarke Quay",5.98132330025165,17.3226450391318
27,-1,0,"MBS",8.71462790697674,21.4804730910062
28,-2,0,"MBS",7.92364149149779,21.1915523720876
29,-2,1,"Orchard",11.0716215740282,16.3260522759739
30,-3,1,"Orchard",12.2419828939648,18.1328234740875
31,-2,1,"Orchard",13.3647621368013,16.7440831530762
32,-1,1,"Orchard",12.5983293714765,16.4057638312695
33,-3,1,"Orchard",10.4148090030556,18.6877211595172
34,-3,1,"Orchard",15.8178483085011,15.9692093332825
35,-3,0,"Clarke Quay",6.59246841695835,19.5253468731583
36,-1,1,"MBS",14.6793036561631,19.3489884260185
37,-3,1,"MBS",11.489892576421,20.8089713653271
38,-2,0,"Orchard",9.8469276849451,17.0146244469507
39,-3,0,"Clarke Quay",6.48763870760194,18.4502179824591
40,-2,0,"MBS",8.48120798384343,20.3789250070659
41,-1,0,"Orchard",9.76019238735644,16.4251968274013
42,-2,1,"Orchard",12.3144985438373,16.6348334500617
43,-1,0,"Clarke Quay",7.98626095134427,16.7414731727596
44,-2,0,"Orchard",9.71226789053412,19.3128220200715
45,-2,1,"Clarke Quay",14.8288425320504,16.7935407322798
46,-3,1,"Clarke Quay",12.0373390316231,15.8582219009851
47,-1,1,"MBS",12.4103213647978,19.391954482302
48,-2,0,"Orchard",8.89698658624162,17.084851353256
49,-2,0,"MBS",7.25937654549417,22.1502768455892
50,-1,0,"Orchard",8.78645342405544,17.5234042215005
51,-1,1,"MBS",15.6867021759894,18.4099674260001
52,-1,1,"Orchard",12.0216513275448,16.9606275808789
53,-3,1,"Orchard",12.8858290409874,16.514215022215
54,-3,1,"MBS",12.6253741734943,21.0559151972673
55,-1,0,"MBS",9.2790719852678,20.1346930217068
56,-2,1,"Orchard",13.6179808041743,17.7074802023424
57,-1,0,"Clarke Quay",8.32745418679605,16.2875201023718
58,-3,0,"Orchard",7.29989774912768,18.9346648750722
59,-1,1,"Clarke Quay",13.6196170701748,16.3140457087572
60,-1,1,"Clarke Quay",14.3407343157944,16.0455744108468
61,-2,0,"Clarke Quay",7.33545365410901,18.7119126557054
62,-3,0,"MBS",7.27673938557534,20.859306854103
63,-2,0,"Clarke Quay",9.7025954968521,16.8154948679045
64,-1,0,"MBS",7.66463701909917,20.1491061073433
65,-2,1,"MBS",12.2163839706553,18.8200167881967
66,-1,0,"Orchard",8.38477167460625,18.1111428041011
67,-2,0,"MBS",9.4923592942505,20.7020301315042
68,-3,0,"Clarke Quay",6.61082761957988,18.7475904169406
69,-1,0,"Clarke Quay",10.366809859493,17.7388625381332
70,-3,0,"Clarke Quay",7.34425893792984,20.3779552166622
71,-1,1,"Orchard",13.1313007596002,15.9433184541434
72,-2,0,"Clarke Quay",8.5382346735663,15.421713787576
73,-1,0,"Clarke Quay",8.42581914651627,18.7928289512041
74,-1,0,"Clarke Quay",8.2859291205502,17.1478346771425
75,-1,1,"Clarke Quay",13.2933320751,15.6653253459827
76,-1,0,"MBS",10.3522824273844,20.8494301560045
77,-1,1,"Orchard",16.4775214972725,14.4764662443128
78,-3,1,"MBS",10.1393642041362,19.7096001856774
79,-3,0,"Clarke Quay",6.00073862017739,19.1809341696605
80,-1,1,"Orchard",12.7281767255211,16.4970202748004
